title,genre,Author
My Name Is Red,Pamuk, Orhan,roman,Pamuk Orhan
Kirmizi Sacli Kadin,Pamuk, Orhan,roman,Pamuk Orhan
ince Memed 1,Kemal, Yasar,turk klasikleri,Kemal Yasar
Uc Anadolu Efsanesi,Kemal, Yasar,turk klasikleri,Kemal Yasar
ince Memed 4,Kemal, Yasar,turk klasikleri,Kemal Yasar
ince Memed 3,Kemal, Yasar,turk klasikleri,Kemal Yasar
Agridagi Efsanesi,Kemal, Yasar,turk klasikleri,Kemal Yasar
The Metamorphosis,Kafka, Franz,dunya klasikleri,Kafka Franz
A Feast for Crows,Martin, George R.R.,Fantastik,Martin George R.R.
A Storm of Swords,Martin, George R.R.,Fantastik,Martin George R.R.
A Clash of Kings,Martin, George R.R.,Fantastik,Martin George R.R.
Unfinished Tales of Nimenor and Middle-Earth,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
The Children of Hirin,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
The Silmarillion,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
The Return of the King*Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
The Two Towers,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
Inventing the Enemy: Essays,Eco, Umberto,Deneme,Eco Umberto
Misreadings,Eco, Umberto,Deneme,Eco Umberto
How to Travel with a Salmon and Other Essays,Eco, Umberto,Deneme,Eco Umberto
Numero zero,Eco, Umberto,roman,Eco Umberto
The Mysterious Flame of Queen Loana,Eco, Umberto,roman,Eco Umberto
The Island of the Day Before,Eco, Umberto,roman,Eco Umberto
The Prague Cemetery,Eco, Umberto,roman,Eco Umberto
On Ugliness,Eco, Umberto,Arastirma-tarih,Eco Umberto
Baudolino,Eco, Umberto,roman,Eco Umberto
History of Beauty,Eco, Umberto,Arastirma-tarih,Eco Umberto
Foucault's Pendulum,Eco, Umberto,roman,Eco Umberto
The Name of the Rose,Eco, Umberto,roman,Eco Umberto
Lavinia,Le Guin, Ursula K.,roman,Le Guin Ursula K.
The Other Wind,Le Guin, Ursula K.,Fantastik,Le Guin Ursula K.
Tehanu,Le Guin, Ursula K.,Fantastik,Le Guin Ursula K.
The Dispossessed,Le Guin, Ursula K.,Bilim-Kurgu,Le Guin Ursula K.
The Tombs of Atuan,Le Guin, Ursula K.,Fantastik,Le Guin Ursula K.
The Word for World is Forest,Le Guin, Ursula K.,Bilim-Kurgu,Le Guin Ursula K.
The Left Hand of Darkness,Le Guin, Ursula K.,Bilim-Kurgu,Le Guin Ursula K.
Ruyanin Ote Yakasi,Le Guin, Ursula K.,Bilim-Kurgu,Le Guin Ursula K.
A Wizard of Earthsea,Le Guin, Ursula K.,Fantastik,Le Guin Ursula K.
The Hobbit, or There and Back Again,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
A Game of Thrones,Martin, George R.R.,Fantastik,Martin George R.R.
The Farthest Shore,Le Guin, Ursula K.,Fantastik,Le Guin Ursula K.
The Fellowship of the Ring,Tolkien, J.R.R.,Fantastik,Tolkien J.R.R.
The Little Prince,Saint-Exupery, Antoine de,dunya klasikleri,Saint-Exupery Antoine de
A Connecticut Yankee in King Arthur's Court,Twain, Mark,dunya klasikleri,Twain Mark
Notes from Underground,Dostoyevsky, Fyodor,dunya klasikleri,Dostoyevsky Fyodor
The Trial,Kafka, Franz,dunya klasikleri,Kafka Franz
Animal Farm,Orwell, George,dunya klasikleri,Orwell George
